locality,property_type,bathrooms,bedrooms2,floor,furnished_status,brand_new,sqft,price
Attapur,Apartment,2,2,1,Unfurnished,Resale,1050,4000000
Attapur,Apartment,2,2,3,Furnished,Resale,860,3500000
Attapur,Apartment,2,2,1,Semi-Furnished,Resale,777,3110000
Attapur,Apartment,1,2,3,Semi-Furnished,New Property,1265,5200000
Attapur,Apartment,2,3,1,Furnished,Resale,1160,5000000
Attapur,Apartment,2,2,4,Furnished,Resale,990,5000000
Attapur,Apartment,2,3,2,Unfurnished,Resale,1380,7200000
Attapur,Apartment,2,2,5,Unfurnished,Resale,700,3500000
Bachupally,Apartment,3,3,7,Unfurnished,New Property,1535,7675000
Bachupally,Apartment,2,3,5,Unfurnished,New Property,1353,7034247
Bachupally,Apartment,2,2,2,Unfurnished,Resale,1100,3700000
Bachupally,Apartment,2,2,2,Semi-Furnished,New Property,980,4644000
Bachupally,Apartment,2,2,2,Unfurnished,Resale,920,4300000
Bachupally,Apartment,2,2,10,Unfurnished,New Property,1109,6500000
Bachupally,Apartment,3,4,12,Unfurnished,New Property,2021,10509000
Bachupally,Apartment,3,3,22,Unfurnished,New Property,1450,8018000
Bachupally,Apartment,2,2,4,Unfurnished,New Property,1000,5800000
Bachupally,Apartment,2,2,0,Unfurnished,Resale,1150,4500000
Bachupally,Apartment,3,3,3,Semi-Furnished,Resale,1600,7000000
Bachupally,Apartment,2,3,7,Unfurnished,Resale,1353,7235000
Bachupally,Apartment,2,2,5,Unfurnished,Resale,950,3500000
Bachupally,Apartment,2,2,0,Unfurnished,Resale,1150,4800000
Bachupally,Apartment,2,2,4,Semi-Furnished,Resale,1050,6400000
Bachupally,Apartment,3,3,1,Unfurnished,New Property,1525,5400000
Bachupally,Apartment,2,2,0,Unfurnished,Resale,900,4700000
Bachupally,Apartment,3,2,3,Semi-Furnished,Resale,1170,4680000
Bachupally,Apartment,3,3,3,Unfurnished,Resale,1800,9999000
Bachupally,Apartment,3,3,0,Unfurnished,Resale,1300,7800000
Bachupally,Apartment,2,3,5,Furnished,Resale,1250,5300000
Bachupally,Apartment,2,3,5,Unfurnished,Resale,1884,8990000
